,features,feature_sums,VIF
2118,FS_HH_IDG_FSHDDI_XDC,-1.3406779663357565e+19,inf
2260,FS_NFC_LDD_XDC,2.442465676853733e+17,inf
2179,FS_NFC_AFT_XDC,5.849223066583278e+18,inf
2182,FS_NFC_AF_XDC,2.090460476497603e+19,inf
143,26G___XDC,5.1771875457024164e+20,inf
2193,FS_NFC_ANFI_XDC,5.615391715209937e+18,inf
2196,FS_NFC_ANFO_XDC,2.1012457197321515e+19,inf
2200,FS_NFC_ANF_XDC,2.6627875628616835e+19,inf
2203,FS_NFC_A_XDC,4.753223855250065e+19,inf
2206,FS_NFC_B_XDC,4.7536651328738345e+19,inf
152,27A___XDC,3.7852913681345454e+23,inf
2213,FS_NFC_CR_FSTD_XDC,2.177892434537287e+19,inf
2215,FS_NFC_CR_XDC,2.1778925001180762e+19,inf
2218,FS_NFC_CS_XDC,4.729928164181131e+19,inf
156,27R___XDC,-2.693736288714137e+23,inf
279,45____XDC,1.9126308972739186e+20,inf
159,31N___XDC,-5.074100904420331e+19,inf
2227,FS_NFC_DP_XDC,1.2215206013908634e+18,inf
163,32AN__XDC,-7.822398230615388e+20,inf
2245,FS_NFC_EI_XDC,6.557410232794557e+17,inf
2248,FS_NFC_II_XDC,7.308151675181331e+17,inf
167,32B___XDC,4.788833489320462e+18,inf
2251,FS_NFC_INAET_XDC,2.830070395023276e+18,inf
5833,GADAN_O_G14_XDC_G91_S1311_XDC_W0|S1_NN,1054025213971935.4,inf
2254,FS_NFC_INBT_XDC,3.104195578546113e+18,inf
2176,FS_NFC_AFO_XDC,6.594652763828959e+18,inf
138,26D___XDC,8.524011116255175e+19,inf
2170,FS_NFC_AFE_XDC,4.688017998970163e+18,inf
123,26AA__XDC,1.2643136561554588e+19,inf
2063,FSTDGDP_PT,114217396.8913,inf
110,24____XDC,4.462023513854905e+21,inf
2071,FS_HH_AFC_XDC,7.223893796003267e+18,inf
2074,FS_HH_AFD_XDC,1.2028364098566246e+18,inf
2077,FS_HH_AFE_XDC,6.412678024489053e+18,inf
