"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Category","Main",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Dataset","Coordinated Direct Investment Survey (CDIS)",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Definition","The CDIS database presents detailed data on ""inward"" direct investment positions (i.e., direct investment into the reporting economy) cross-classified by economy of immediate investor, and data on ""outward"" direct investment positions (i.e., direct investment abroad by the reporting economy) cross-classified by economy of immediate investment. The CDIS database contains breakdowns of direct investment position data, including, in most instances, separate data on net equity and net debt positions, as well as tables that present ""mirror"" data (i.e., tables in which data from the reporting economy are shown side-by-side with the data obtained from all other counterpart reporting economies).",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Frequency","Annual",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Geographic Coverage","Data available for 110 reporting economies",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Latest Update Date","12/07/2022",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Methodology","<a href=""http://www.imf.org/external/np/sta/di/index.htm"">Direct Investment Methdology</a>",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Sectoral Coverage","External Sector",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Tag","Home Page",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Temporal Coverage","Annual data beginning 2009",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Topics","External Sector",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","","","","","","","Update Frequency","Semi-annual",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country Code","512",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country Full Name","Afghanistan, Islamic Republic of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country ISO 2 Code","AF",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country ISO 3 Code","AFG",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country Name","Afghanistan, Islamic Rep. of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country SDMX Code","AF",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country SDMX Name","Afghanistan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Afghanistan, Islamic Rep. of","512","","","","","Country Short Name","Afghanistan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country Code","914",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country Full Name","Albania",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country ISO 2 Code","AL",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country ISO 3 Code","ALB",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country Name","Albania",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country SDMX Code","AL",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country SDMX Name","Albania",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Albania","914","","","","","Country Short Name","Albania",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country Code","612",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country Full Name","Algeria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country ISO 2 Code","DZ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country ISO 3 Code","DZA",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country Name","Algeria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country SDMX Code","DZ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country SDMX Name","Algeria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Algeria","612","","","","","Country Short Name","Algeria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country Code","859",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country Full Name","American Samoa",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country ISO 2 Code","AS",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country ISO 3 Code","ASM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country Name","American Samoa",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country SDMX Code","AS",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country SDMX Name","American Samoa",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","American Samoa","859","","","","","Country Short Name","American Samoa",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country Code","171",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country Full Name","Andorra, Principality of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country ISO 2 Code","AD",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country ISO 3 Code","AND",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country Name","Andorra, Principality of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country SDMX Code","AD",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country SDMX Name","Andorra",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Andorra, Principality of","171","","","","","Country Short Name","Andorra",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country Code","614",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country Full Name","Angola",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country ISO 2 Code","AO",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country ISO 3 Code","AGO",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country Name","Angola",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country SDMX Code","AO",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country SDMX Name","Angola",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Angola","614","","","","","Country Short Name","Angola",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country Code","312",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country Full Name","Anguilla, United Kingdom-British Overseas Territory",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country ISO 2 Code","AI",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country ISO 3 Code","AIA",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country Name","Anguilla",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country SDMX Code","AI",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country SDMX Name","Anguilla",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Anguilla","312","","","","","Country Short Name","Anguilla",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country Code","311",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country Full Name","Antigua and Barbuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country ISO 2 Code","AG",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country ISO 3 Code","ATG",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country Name","Antigua and Barbuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country SDMX Code","AG",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country SDMX Name","Antigua and Barbuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Antigua and Barbuda","311","","","","","Country Short Name","Antigua and Barbuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country Code","213",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country Full Name","Argentina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country ISO 2 Code","AR",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country ISO 3 Code","ARG",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country Name","Argentina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country SDMX Code","AR",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country SDMX Name","Argentina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Argentina","213","","","","","Country Short Name","Argentina",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country Code","911",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country Full Name","Armenia, Republic of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country ISO 2 Code","AM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country ISO 3 Code","ARM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country Name","Armenia, Rep. of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country SDMX Code","AM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country SDMX Name","Armenia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Armenia, Rep. of","911","","","","","Country Short Name","Armenia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country Code","314",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country Full Name","Aruba, Kingdom of the Netherlands",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country ISO 2 Code","AW",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country ISO 3 Code","ABW",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country Name","Aruba, Kingdom of the Netherlands",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country SDMX Code","AW",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country SDMX Name","Aruba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Aruba, Kingdom of the Netherlands","314","","","","","Country Short Name","Aruba",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country Code","193",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country Full Name","Australia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country ISO 2 Code","AU",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country ISO 3 Code","AUS",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country Name","Australia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country SDMX Code","AU",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country SDMX Name","Australia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Australia","193","","","","","Country Short Name","Australia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country Code","122",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country Full Name","Austria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country ISO 2 Code","AT",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country ISO 3 Code","AUT",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country Name","Austria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country SDMX Code","AT",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country SDMX Name","Austria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Austria","122","","","","","Country Short Name","Austria",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Azerbaijan, Rep. of","912","","","","","Country Code","912",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Azerbaijan, Rep. of","912","","","","","Country Full Name","Azerbaijan, Republic of",""
