"Dataset Name","Dataset Code","Country Name","Country Code","Product Name","Product Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Export Quality","EQ","","","","","","","Category","Main",""
"Export Quality","EQ","","","","","","","Dataset","Export Diversification and Quality",""
"Export Quality","EQ","","","","","","","Definition","Contains indicators of export quality for over 800 exported products that can be aggregated at various levels. It also covers 166 countries, with data from 1963 to 2014, resulting in over 1.7 million observations at the most disaggregate level. Higher values correspond to higher quality levels. The index is normalized, with a value of 1 signifying a quality level in line with the world frontier, taken to be the quality score at the 90th percentile observed among all exporters.<p/>The <i>Product</i> menu allows users to choose between:<ul><li>Standard International Trade Classification (SITC; up to 4-digit level)</li><li>Broad Economic Categories (BEC; up to 3-digit level)</li><li>Aggregate Sectors (Agriculture, Commodities, Manufactures)</li></ul>",""
"Export Quality","EQ","","","","","","","Frequency","Annual",""
"Export Quality","EQ","","","","","","","Geographic Coverage","166 countries. OECD classification of Exporter (Classified as High income, Low income, Upper Middle Income, Lower Middle income), as of 2016.",""
"Export Quality","EQ","","","","","","","Latest Update Date","07/07/2017",""
"Export Quality","EQ","","","","","","","Methodology","<a href=""http://www.imf.org/en/Publications/WP/Issues/2016/12/31/Export-Quality-in-Developing-Countries-40536f"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Henn, C., C. Papageorgiou, N. Spatafora, 2013. “Export Quality in Developing Countries”, IMF Working Paper 13/108</a>",""
"Export Quality","EQ","","","","","","","Sectoral Coverage","Product coverage is based on the SITC Rev. 1 classification at the 4 digit level. The Export Quality Database supplies data also at higher SITC Rev. 1 aggregations, by Broad Economic Categories (BEC), and by aggregate sectors (agriculture, commodities, manufacturing).",""
"Export Quality","EQ","","","","","","","Sort Order","1",""
"Export Quality","EQ","","","","","","","Tag","Home Page",""
"Export Quality","EQ","","","","","","","Temporal Coverage","1963-2014",""
"Export Quality","EQ","","","","","","","Topics","External Sector",""
"Export Quality","EQ","Albania","914","","","","","Country Code","914",""
"Export Quality","EQ","Albania","914","","","","","Country Full Name","Albania",""
"Export Quality","EQ","Albania","914","","","","","Country ISO 2 Code","AL",""
"Export Quality","EQ","Albania","914","","","","","Country ISO 3 Code","ALB",""
"Export Quality","EQ","Albania","914","","","","","Country Name","Albania",""
"Export Quality","EQ","Albania","914","","","","","Country SDMX Code","AL",""
"Export Quality","EQ","Albania","914","","","","","Country SDMX Name","Albania",""
"Export Quality","EQ","Albania","914","","","","","Country Short Name","Albania",""
"Export Quality","EQ","Albania","914","","","","","Country Source Code","ALB",""
"Export Quality","EQ","Algeria","612","","","","","Country Code","612",""
"Export Quality","EQ","Algeria","612","","","","","Country Full Name","Algeria",""
"Export Quality","EQ","Algeria","612","","","","","Country ISO 2 Code","DZ",""
"Export Quality","EQ","Algeria","612","","","","","Country ISO 3 Code","DZA",""
"Export Quality","EQ","Algeria","612","","","","","Country Name","Algeria",""
"Export Quality","EQ","Algeria","612","","","","","Country SDMX Code","DZ",""
"Export Quality","EQ","Algeria","612","","","","","Country SDMX Name","Algeria",""
"Export Quality","EQ","Algeria","612","","","","","Country Short Name","Algeria",""
"Export Quality","EQ","Algeria","612","","","","","Country Source Code","DZA",""
"Export Quality","EQ","Angola","614","","","","","Country Code","614",""
"Export Quality","EQ","Angola","614","","","","","Country Full Name","Angola",""
"Export Quality","EQ","Angola","614","","","","","Country ISO 2 Code","AO",""
"Export Quality","EQ","Angola","614","","","","","Country ISO 3 Code","AGO",""
"Export Quality","EQ","Angola","614","","","","","Country Name","Angola",""
"Export Quality","EQ","Angola","614","","","","","Country SDMX Code","AO",""
"Export Quality","EQ","Angola","614","","","","","Country SDMX Name","Angola",""
"Export Quality","EQ","Angola","614","","","","","Country Short Name","Angola              ",""
"Export Quality","EQ","Angola","614","","","","","Country Source Code","AGO",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country Code","311",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country Full Name","Antigua and Barbuda",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country ISO 2 Code","AG",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country ISO 3 Code","ATG",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country Name","Antigua and Barbuda",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country SDMX Code","AG",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country SDMX Name","Antigua and Barbuda",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country Short Name","Antigua and Barbuda ",""
"Export Quality","EQ","Antigua and Barbuda","311","","","","","Country Source Code","ATG",""
"Export Quality","EQ","Argentina","213","","","","","Country Code","213",""
"Export Quality","EQ","Argentina","213","","","","","Country Full Name","Argentina",""
"Export Quality","EQ","Argentina","213","","","","","Country ISO 2 Code","AR",""
"Export Quality","EQ","Argentina","213","","","","","Country ISO 3 Code","ARG",""
"Export Quality","EQ","Argentina","213","","","","","Country Name","Argentina",""
"Export Quality","EQ","Argentina","213","","","","","Country SDMX Code","AR",""
"Export Quality","EQ","Argentina","213","","","","","Country SDMX Name","Argentina",""
"Export Quality","EQ","Argentina","213","","","","","Country Short Name","Argentina",""
"Export Quality","EQ","Argentina","213","","","","","Country Source Code","ARG",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country Code","911",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country Full Name","Republic of Armenia",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country ISO 2 Code","AM",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country ISO 3 Code","ARM",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country Name","Armenia, Republic of",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country SDMX Code","AM",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country SDMX Name","Armenia",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country Short Name","Armenia",""
"Export Quality","EQ","Armenia, Republic of","911","","","","","Country Source Code","ARM",""
"Export Quality","EQ","Australia","193","","","","","Country Code","193",""
"Export Quality","EQ","Australia","193","","","","","Country Full Name","Australia",""
"Export Quality","EQ","Australia","193","","","","","Country ISO 2 Code","AU",""
"Export Quality","EQ","Australia","193","","","","","Country ISO 3 Code","AUS",""
"Export Quality","EQ","Australia","193","","","","","Country Name","Australia",""
"Export Quality","EQ","Australia","193","","","","","Country SDMX Code","AU",""
"Export Quality","EQ","Australia","193","","","","","Country SDMX Name","Australia",""
"Export Quality","EQ","Australia","193","","","","","Country Short Name","Australia           ",""
"Export Quality","EQ","Australia","193","","","","","Country Source Code","AUS",""
"Export Quality","EQ","Austria","122","","","","","Country Code","122",""
"Export Quality","EQ","Austria","122","","","","","Country Full Name","Austria",""
"Export Quality","EQ","Austria","122","","","","","Country ISO 2 Code","AT",""
"Export Quality","EQ","Austria","122","","","","","Country ISO 3 Code","AUT",""
"Export Quality","EQ","Austria","122","","","","","Country Name","Austria",""
"Export Quality","EQ","Austria","122","","","","","Country SDMX Code","AT",""
"Export Quality","EQ","Austria","122","","","","","Country SDMX Name","Austria",""
"Export Quality","EQ","Austria","122","","","","","Country Short Name","Austria",""
"Export Quality","EQ","Austria","122","","","","","Country Source Code","AUT",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country Code","912",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country Full Name","Republic of Azerbaijan",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country ISO 2 Code","AZ",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country ISO 3 Code","AZE",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country Name","Azerbaijan, Republic of",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country SDMX Code","AZ",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country SDMX Name","Azerbaijan",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country Short Name","Azerbaijan, Rep. of",""
"Export Quality","EQ","Azerbaijan, Republic of","912","","","","","Country Source Code","AZE",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country Code","313",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country Full Name","Bahamas, The",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country ISO 2 Code","BS",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country ISO 3 Code","BHS",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country Name","Bahamas, The",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country SDMX Code","BS",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country SDMX Name","Bahamas",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country Short Name","Bahamas, The        ",""
"Export Quality","EQ","Bahamas, The","313","","","","","Country Source Code","BHS",""
"Export Quality","EQ","Bahrain, Kingdom of","419","","","","","Country Code","419",""
