"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Financial Access Survey (FAS)","FAS","","","","","Category","Main",""
"Financial Access Survey (FAS)","FAS","","","","","Dataset","Financial Access Survey (FAS)",""
"Financial Access Survey (FAS)","FAS","","","","","Definition","Contains 180 time series and 65 indicators that are expressed as ratios to GDP, land area, or adult population to facilitate cross-economy comparisons. Provision of FAS data is voluntary.",""
"Financial Access Survey (FAS)","FAS","","","","","Frequency","Annual",""
"Financial Access Survey (FAS)","FAS","","","","","Geographic Coverage","The FAS provides global supply-side data on access to and usage of financial services by households and firms for 189 reporting jurisdictions, covering 99 percent of the world’s adult population.",""
"Financial Access Survey (FAS)","FAS","","","","","In the News - URLs","<p><a href=""http://www.imf.org/external/np/sec/pr/2015/pr15455.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 15/455</font></a></p><p><a href=""http://www.cgdev.org/blog/new-imf-database-financial-access-indicators"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Center for Global Development</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2014/pr14425.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 14/425</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2013/pr13345.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 13/345</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2012/pr12320.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 12/320</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2011/pr11274.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 11/274</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2010/pr10270.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 10/270</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2009/pr09351.htm"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Press Release No. 09/351</font></a></p>",""
"Financial Access Survey (FAS)","FAS","","","","","Latest Update Date","02/03/2023",""
"Financial Access Survey (FAS)","FAS","","","","","Methodology","The Financial Access Survey draws on the IMF’s Monetary and Financial Statistics Manual and Compilation Guide (<a href=""http://data.imf.org/api/document/download?key=61061648"" target = ""_blank""><u>MFSMCG</u></a>).",""
"Financial Access Survey (FAS)","FAS","","","","","Related Links - URLs","<p><a href=""http://www.cgdev.org/files/1422882_file_Financial_Access_Task_Force_Report_FINAL.pdf"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Policy Principles for Expanding Financial Access </a></p><p><a href=""http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/EXTPROGRAMS/EXTFINRES/EXTGLOBALFIN/0,,contentMDK:23147627~pagePK:64168176~piPK:64168140~theSitePK:8519639,00.html"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Global Findex</font></a></p><p><a href=""http://www.enterprisesurveys.org/"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Enterprise Surveys</font></a></p><p><a href=""http://www.gpfi.org/"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Global Partnership for Financial Inclusion (GPFI)</font></a></p><p><a href=""http://www.afi-global.org/"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Alliance for Financial Inclusion</font></a></p><p><a href=""http://datatopics.worldbank.org/g20fidata/"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">G20 Basic Set of Financial Inclusion Indicators</font></a></p><p><a href=""http://smefinanceforum.org/"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">SME Finance Forum</font></a></p><p><a href=""http://smefinanceforum.org/322200/womens-hub"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">Women's Finance Hub</font></a></p><p><a href=""http://www.cgap.org/publications/financial-access-2012"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">CGAP Financial Access 2012</font></a></p><p><a href=""http://data.worldbank.org/data-catalog/world-development-indicators"" target = ""_blank""STYLE=""TEXT-DECORATION: NONE""><font color=""#5D9F98"">World Development Indicators</font></a></p>",""
"Financial Access Survey (FAS)","FAS","","","","","Sectoral Coverage","The 2012 FAS questionnaire was expanded to include time series for credit unions and financial cooperatives, deposit and non-deposit taking microfinance institutions, as well as breakdowns for households vs. small and medium enterprises and life vs. non-life insurance.",""
"Financial Access Survey (FAS)","FAS","","","","","Tag","Home Page",""
"Financial Access Survey (FAS)","FAS","","","","","Temporal Coverage","Annual data and metadata starting from 2004 onwards.",""
"Financial Access Survey (FAS)","FAS","","","","","Topics","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","","","Update Frequency","Weekly",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Code","512",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Full Name","Afghanistan, Islamic Republic of",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country ISO 2 Code","AF",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country ISO 3 Code","AFG",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Name","Afghanistan, Islamic Rep. of",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country SDMX Code","AF",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country SDMX Name","Afghanistan",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Short Name","Afghanistan",""
"Financial Access Survey (FAS)","FAS","Afghanistan, Islamic Rep. of","512","","","Country Source Code","512",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Code","914",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Full Name","Albania",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country ISO 2 Code","AL",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country ISO 3 Code","ALB",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Name","Albania",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country SDMX Code","AL",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country SDMX Name","Albania",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Short Name","Albania",""
"Financial Access Survey (FAS)","FAS","Albania","914","","","Country Source Code","914",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Code","612",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Full Name","Algeria",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country ISO 2 Code","DZ",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country ISO 3 Code","DZA",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Name","Algeria",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country SDMX Code","DZ",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country SDMX Name","Algeria",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Short Name","Algeria",""
"Financial Access Survey (FAS)","FAS","Algeria","612","","","Country Source Code","612",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Code","614",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Full Name","Angola",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country ISO 2 Code","AO",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country ISO 3 Code","AGO",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Name","Angola",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country SDMX Code","AO",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country SDMX Name","Angola",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Short Name","Angola",""
"Financial Access Survey (FAS)","FAS","Angola","614","","","Country Source Code","614",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Code","312",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Full Name","Anguilla, United Kingdom-British Overseas Territory",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country ISO 2 Code","AI",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country ISO 3 Code","AIA",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Name","Anguilla",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country SDMX Code","AI",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country SDMX Name","Anguilla",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Short Name","Anguilla",""
"Financial Access Survey (FAS)","FAS","Anguilla","312","","","Country Source Code","312",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Code","311",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Full Name","Antigua and Barbuda",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country ISO 2 Code","AG",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country ISO 3 Code","ATG",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Name","Antigua and Barbuda",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country SDMX Code","AG",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country SDMX Name","Antigua and Barbuda",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Short Name","Antigua and Barbuda",""
"Financial Access Survey (FAS)","FAS","Antigua and Barbuda","311","","","Country Source Code","311",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Code","213",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Full Name","Argentina",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country ISO 2 Code","AR",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country ISO 3 Code","ARG",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Name","Argentina",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country SDMX Code","AR",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country SDMX Name","Argentina",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Short Name","Argentina",""
"Financial Access Survey (FAS)","FAS","Argentina","213","","","Country Source Code","213",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Code","911",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Full Name","Armenia, Republic of",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country ISO 2 Code","AM",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country ISO 3 Code","ARM",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Name","Armenia, Rep. of",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country SDMX Code","AM",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country SDMX Name","Armenia",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Short Name","Armenia",""
"Financial Access Survey (FAS)","FAS","Armenia, Rep. of","911","","","Country Source Code","911",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Code","314",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Full Name","Aruba, Kingdom of the Netherlands",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country ISO 2 Code","AW",""
