,features,feature_sums,VIF
376,FA_XDC_FS_ODX_XI,4637529451000.0,inf
502,IA_EUR_FS_OFX_IIC,9321683550.1518,inf
518,IA_USD_FS_OFX_IIC,91939710392.6715,inf
515,IA_USD_FS_ODX_XO,19281995780.0,inf
514,IA_USD_FS_ODX_XMFI,7869976822.0,inf
513,IA_USD_FS_ODX_X,13575986301.0,inf
512,IA_USD_FS_ODX_IPO,32454762867.5805,inf
511,IA_USD_FS_ODX_IPI,661654545.0,inf
510,IA_USD_FS_ODX_IPC,1108330306447.7043,inf
509,IA_USD_FS_ODX_IP,1146809661497.034,inf
507,IA_USD_FS_ODX_I,1146809661497.034,inf
504,IA_EUR_FS_OFX_IOFI,354604453.335,inf
503,IA_EUR_FS_OFX_IICLIC,76080000.0,inf
501,IA_EUR_FS_OFX_IFA,136779230.0,inf
254,DSD_NUM_FS_ODX_IPM,13.9683,inf
500,IA_EUR_FS_OFX_I,491383683.335,inf
499,IA_EUR_FS_ODX_XC,3787216190.0,inf
498,IA_EUR_FS_ODX_X,34998662634.4444,inf
497,IA_EUR_FS_ODX_IPS,3298187363.6364,inf
496,IA_EUR_FS_ODX_IPO,52856810415.3963,inf
494,IA_EUR_FS_ODX_IPM,19791318266.6667,inf
493,IA_EUR_FS_ODX_IPI,407277202637.2946,inf
490,IA_EUR_FS_ODX_IPC,4622364711324.737,inf
488,IA_EUR_FS_ODX_IP,5318684909527.592,inf
483,IA_EUR_FS_ODX_IGI,99291560713.4295,inf
478,IA_EUR_FS_ODX_IG,63185538635.8188,inf
520,IA_XDC_FS_ODX_D,6671409.6808,inf
521,IA_XDC_FS_ODX_I,1.6249054258794846e+16,inf
522,IA_XDC_FS_ODX_ID,108591811011383.23,inf
523,IA_XDC_FS_ODX_IG,423059632107.1477,inf
578,IBD_NUM_FS_ODX_IPM,16.0833,inf
577,IBD_NUM_FS_ODX_IPI,5.2273,inf
576,IBD_NUM_FS_ODX_IPDV,4.7692,inf
571,IBD_NUM_FS_ODX_IGS,147.0,inf
561,IBD_NUM_FS_ODX_ID,1.8,inf
559,IBD_NUM_FS_ODX_D,0.8182,inf
557,IA_XDC_FS_OFX_IOFI,75468855431.1982,inf
556,IA_XDC_FS_OFX_IIC,287472539547811.5,inf
554,IA_XDC_FS_OFX_I,186679953755.1111,inf
553,IA_XDC_FS_ODX_XS,2624999830800.0,inf
552,IA_XDC_FS_ODX_XO,83038856723.3333,inf
551,IA_XDC_FS_ODX_XMFI,5855725000.0,inf
545,IA_XDC_FS_ODX_XC,27052059.8,inf
543,IA_XDC_FS_ODX_X,2415975200641.988,inf
538,IA_XDC_FS_ODX_IPI,1467561895668.246,inf
537,IA_XDC_FS_ODX_IPDV,2848957153.8462,inf
536,IA_XDC_FS_ODX_IPCU,223336000000.0,inf
535,IA_XDC_FS_ODX_IPC,1.6247466945552852e+16,inf
534,IA_XDC_FS_ODX_IPB,3256594212.58,inf
533,IA_XDC_FS_ODX_IP,1.6248593201065418e+16,inf
532,IA_XDC_FS_ODX_IGS,12380421000.0,inf
531,IA_XDC_FS_ODX_IGO,43110971666.6667,inf
527,IA_XDC_FS_ODX_IGDV,368181000000.0,inf
477,IA_EUR_FS_ODX_I,5435116075086.81,inf
464,FG_NUM_FS_OFX_IIC,2.0,inf
462,FG_NUM_FS_OFX_I,2.0,inf
336,FA_EUR_FS_ODX_XC,1037116034.0,inf
333,FA_EUR_FS_ODX_IPO,13174562142.8571,inf
327,FA_EUR_FS_ODX_IPC,2541272878079.3545,inf
325,FA_EUR_FS_ODX_IP,2554447440222.212,inf
314,FA_EUR_FS_ODX_I,2554447440222.212,inf
311,DSF_NUM_FS_OFX_IOFI,117.6021,inf
310,DSF_NUM_FS_OFX_IIC,11.0,inf
308,DSF_NUM_FS_OFX_I,119.5466,inf
293,DSF_NUM_FS_ODX_IPM,3008912.9835,inf
292,DSF_NUM_FS_ODX_IPI,4.0,inf
291,DSF_NUM_FS_ODX_IPDV,1.4615,inf
290,DSF_NUM_FS_ODX_IPCU,0.8,inf
288,DSF_NUM_FS_ODX_IPB,2.0,inf
286,DSF_NUM_FS_ODX_IGS,21.0,inf
281,DSF_NUM_FS_ODX_IGDV,12.2168,inf
